english,korean
"Today was our VSMR quarterly wrap-up meeting.","오늘은 VSMR 분기 총괄회의가 있는 날이었어요."
"It was actually the last one of the year.","올해 마지막 회의이기도 했고요."
"When I got to the conference room, a lot of people were already there.","회의장에 도착했을 때 이미 많은 사람들이 와 있었어요."
"Everyone was busy getting ready for their presentations.","다들 발표 준비하느라 분주했어요."
"I ran into a few people I hadn’t seen in a while, so we said hi and chatted for a bit.","오랜만에 만난 사람들도 있어서 잠깐 인사하고 얘기도 나눴고요."
"Honestly, the first thing that really caught my eye was the coffee booth.","솔직히 제일 먼저 눈에 들어온 건 커피 부스였어요."
"I grabbed a cup of coffee, and that really helped me settle down.","커피 한 잔을 마셨는데, 그게 마음을 가라앉히는 데 도움이 됐어요."
"The meeting itself was pretty full.","회의는 꽤 빡빡하게 진행됐어요."
"Around a hundred professors, students, and researchers were there.","교수님들, 학생들, 연구자들까지 100명 정도가 참석했어요."
"Everyone shared updates on their work, and there were lots of questions.","각자 맡은 과제 진행 상황을 발표하고 질문도 많이 나왔어요."
"Our team leader explained our progress really clearly.","우리 팀은 팀장님이 진행 상황을 아주 잘 설명해 주셨어요."
"What stood out to me was how many papers people have been submitting.","인상 깊었던 건 생각보다 논문 제출이 정말 많았다는 거예요."
"It really felt like everyone has been working hard in their own role.","다들 각자 자리에서 열심히 하고 있구나 하는 느낌이 들었어요."
"It gave me a lot of ideas to take notes on.","그래서 저도 떠오른 아이디어들을 메모해 두었어요."
